CampaignID,Senddate,Mails,Clicks,Openings,Name
A893893D-91CD-4168-B7AE-C5B99A72C860,02.04.2018 14:00,44289,1671,14133,Campaign 1
ACAFB5B8-6D6B-4D2E-8287-F87A75B042FC,02.04.2018 17:00,39940,479,17965,Campaign 2
97600AC7-C442-46D0-A189-09753630BB39,03.04.2018 10:00,21478,720,6138,Campaign 3
65336882-C5E2-4214-BFEC-9555A7734024,04.04.2018 07:39,45162,905,9657,Campaign 4
49F161FE-2D38-42ED-B4C9-D555447685D4,04.04.2018 12:01,29429,642,5401,Campaign 5
B0536540-5B4C-4EF6-B769-4362F75B393C,04.04.2018 20:00,43171,845,9390,Campaign 6
BEE55AB1-A049-4AFD-ABD7-63B9034D1035,05.04.2018 08:51,38828,432,6323,Campaign 7
04B5D22A-E101-4F72-BBA0-716D58A11BDC,05.04.2018 09:16,27449,454,5403,Campaign 8
4333E42B-EEC9-4BE4-86EA-F7E4899BE8E6,05.04.2018 10:50,42213,2051,9238,Campaign 9
DC15920E-4715-46B1-A927-8B9A0B9CA957,05.04.2018 15:00,21513,720,5432,Campaign 10
A90246AE-A74E-4250-B600-B4D3CC3BFFA4,05.04.2018 17:30,22036,688,5724,Campaign 11
6A3343BC-D06E-43F7-B57A-D24A23E083DE,06.04.2018 11:00,44134,429,11918,Campaign 12
1CCCEB25-241D-41D3-A953-87F072B7A6B2,06.04.2018 11:20,39888,467,17175,Campaign 13
418C6390-F55D-4C87-A649-F17BF1B6FA15,06.04.2018 14:17,37551,459,4121,Campaign 14
7487D90B-B975-4898-8344-DDB0005A402C,06.04.2018 16:21,21599,215,6112,Campaign 15
